text,label
Cards DH Anderson Gets Postseason Start Marlon Anderson got his first start of the postseason for the St Louis Cardinals on Sunday night serving as the designated hitter in the second game of the World Series,zero
Thousands in Fla Told to Flee Hurricane FORT PIERCE Fla Hurricane Jeanne forced the evacuations of more than residents Saturday as it bore down on Florida with winds near mph and threatened to strengthen into a major storm,zero
Montana keeps tradition going despite youth No players are pictured on the front or back covers of the Montana football media guide Displayed instead are images of the two NCAA championship trophies the Grizzlies have won,one
Sooners stop at nothing DALLAS The recruiting battle was as intense as everyone expected Oklahoma against Texas again,one
JP Morgan cancels IBM outsourcing contract The termination of the billion deal stands in opposition to a trend toward more IT outsourcing,three
Former Chinese Minister attacks Bush doctrine Beijing Nov On the eve of the US Presidential poll one of the key architects of China s foreign policy lashed out at the controversial quotBush doctrine quot of preemptive strikes the quotcatastrophic quot war on Iraq and predicted that the st century will,zero
Sky launches Freesat digital TV BSkyB launches a free digital satellite TV service which offers channels for a oneoff fee of,three
White Sox s Guillen hospitalized with what may be kidney stones Chicago White Sox manager Ozzie Guillen was hospitalized last night and might have kidney stones Guillen serving the first game of a twogame suspension left the ballpark about three hours before the game against Detroit and went to a Chicago hospital,one
Militants Take Control in Parts of Iraqs Mosul MOSUL Iraq Reuters Insurgents were in charge of some areas of south and western Mosul on Saturday holding two police stations and manning road blocks as Iraqs third largest city appeared to slide out of US and Iraqi control,zero
Report Cubs Fine Sosa CHICAGO Sports Network Chicago Cubs slugger Sammy Sosa has reportedly been fined equal to his salary for one game by the team for his decision to leave Sundays season finale early,one
Jeanne Drenches Fla Batters Buildings STUART Fla Hurricane Jeanne blasted ashore in Florida with drenching rains and mph wind tearing off rooftops hurling debris through the air and sending huge waves crashing into buildings Sunday as it hit the same area battered by Frances three weeks ago,zero
Microsoft Stance on Multicore Licensing Will Help Customers On October Microsoft announced that its software licensed on a perprocessor basis will continue to be licensed on that basis when installed on hardware that contains dualcore and multicore processors,three
Stocks Set to Rise Retail and Apple Eyed Reuters Reuters Stock futures rose on Monday pointingto a firmer open as investors pinned hopes on a solid start tothe holiday shopping season while Apple Computer Inc was helped by another brokerage raising its price target on thestock,three
Washington Nationals that s the name City and team officials announced at a Monday press conference at the Main Hall in Union Station that Washington DC s baseball team would be named the Nationals,one
But eye in the sky tracks pollution NASA launched a hour global pollution monitoring service yesterday that will eventually allow scientists to give daily chemical forecasts from space,three
Sears Posts a Loss Cuts FullYear View Sears Roebuck amp Co SN Quote Profile Research the largest US department store chain on Thursday posted a thirdquarter loss as its clothing sales continued to slide and cuts its forecast for the full year,two
Windows XP Service Pack Is It Time Yet InformationWeek A Desktop Pipeline reviewer invites readers to step into the SP waters and offers some suggestions on how to do it as safely as possible,three
ARM Grasps Artisan for Embedded Chips p gtSemiconductor design firm ARM Quote Chart is took a major leap into the embedded microprocessor space by acquiring Artisan Components Quote Chart producer of embedded memory standard cell inputoutput analog and mixedsignal components,two
Merck stock takes big hit after recall As far as stock hits go this ranks up there as one of the worst Merck amp Co lost more than billion in value yesterday yes that s billion with ab after the pharmaceutical giant,two
HipHop Culture Contributes to NBA s Bad Rap Not everything that ails the NBA is solved by the restoftheseason suspension of the Indiana Pacers Ron Artest It would be irresponsible to suggest anybody should have foreseen a brawl coming,one
Mark McNulty rallies to steal Schwab championship Hale Irwin wins ltbgtltbgt Mark McNulty and Hale Irwin had roughly the same thought as they collected their big trophies and bigger cheques How did Tom Kite let all this great stuff slip away at the Charles Schwab Cup Championship,one
Iraq on track for January poll Iraqi PM Iyad Allawi says elections will take place in January as scheduled despite continuing violence,zero
TempleInland to Cut Jobs Sees Charge TempleInland Inc which makes packaging and building materials said Monday it will slash jobs and take a thirdquarter charge to sell its thirdparty mortgage servicing portfolio and reposition its mortgage origination activities,two
Federer and Roddick through Top seed Roger Federer reached the Thailand Open semis with a win over Robin Soderling of Sweden Second seed Andy Roddick also stormed through beating Thomas Johansson of Sweden in just minutes,one
Records rebounding Variety Variety HOLLYWOOD The recorded music industry showed signs of a rebound in the first half of the year with fulllength CD shipments to retail outlets increasing by from according to the RIAA,three
Mission improbable but strange things do happen Impossible Inconceivable A Southeastern Conference team is in position to go and get locked out of the national championship game,one
Kodak cuts jobs MARK COLVIN The global rise of digital photography has taken its toll in jobs in Victoria tonight The global photography giant Eastman Kodak has been cutting jobs all over the world since January this year,two
Advo Names Harding CEO Advo Inc AD which publishes shopping ad circulars and provides other directmail marketing services on Monday said its board of directors had elected Scott Harding chief executive effective Oct,two
Best Buy Pushes Its Insignia Brand SAN FRANCISCO Reuters Best Buy Inc ltA HREF targetstocksquickinfofullquotegtBBYNltAgt will offer an expanded range of its own branded products such as LCD televisions as it pushes into the growing market for lowerpriced privatelabel consumer electronics the company said on Monday,two
Report Bribes Got Bomb Suspects on Planes AP AP Russian authorities believe that two Chechen women suspected of blowing up Russian passenger jets last month got on the planes by paying bribes media reports said,zero
No Louisville at No Miami TV tvelwtvscwtvpcwtvnrw Radio WQAM AM WSUASpanish AM WVUM FM WEFL AM Coaches UM s Larry Coker is in his fourth season Louisville s Bobby Petrino is in his second season,one
Microsoft Sues Spammers Microsoft announced today that is filing lawsuits against spammers for failing to label sexually explicit messages The lawsuits were filed in Washington State Superior Court alleging that defendants violated,three
Fighting rages in South Ossetia Heavy fighting erupts in Georgias breakaway South Ossetia region shattering a twoday ceasefire,zero
Artful Software Spots Faked Masterpieces A new digital authentication technique supplies forensic art experts with a new tool to distinguish paintings by masters from those by imitators scientists say,three
Freeze on antispam campaign A campaign by Lycos Europe to target spamrelated websites appears to have been put on hold Earlier this week the company released a screensaver that bombarded the sites with data to try to bump up the running costs of the websites,three
Update Judge Backs Owens Corning on Exec Bonuses Owens Corning was well within its rights to offer its top executives bonuses to keep them from leaving the bankrupt corporation a judge said Wednesday,two
Martin Back in Chase for NASCAR Title Dale Earnhardt Jr right talks with Matt Kenseth left during a break in practice at Lowe s Motor Speedway in Concord NC Thursday Oct before qualifying for Saturday s UAWGM Quality NASCAR Nextel Cup race,one
Japan Court ExChess Champ Fischer Can Be Deported TOKYO Reuters A Tokyo court on Friday rejected a request by former world chess champion Bobby Fischer to have Japanese authorities halt procedures to deport him Kyodo news agency reported,zero
AOL NEARS SEC FRAUD DEAL The Time Warner Inc chairman and CEO and his legal eagles are said to be close to a deal with the Securities and Exchange Commission and the Justice Department that would settle the dual,two
Tokyo Stocks Seek Direction from Overseas TOKYO Reuters Tokyo stocks are expected to stick to a narrow range this week as investors focus on a flood of US earnings soaring oil prices and the race for the White House,two
General Growth Properties to Buy Rouse Reuters Reuters General Growth Properties IncGGPN the No US shopping mall owner on Friday said itwould buy Rouse Co RSEN for billion expanding itsholdings of regional shopping centers and commercial property,two
MLS Players Union Reach Tentative Deal AP AP Major League Soccer and its players union tentatively agreed on a fiveyear labor contract Thursday ending nearly years of negotiations,one
ExMcAfee Exec Settles InsiderTrade Case AP AP Criminal charges were filed Tuesday against a former executive at Network Associates Inc alleging he illegally profited from advance knowledge of a massive sales shortfall in,three
Indias most wanted bandit killed in jungle shootout after a year run Canadian Press Canadian Press MADRAS India AP Indias most wanted bandit accused of murdering police officers slaughtering elephants and kidnapping a movie star was killed Monday in a jungle shootout with police after more than three decades on the run authorities said,zero
Almost nobody has a dog in this fight You expect fans to lose interest whenever billionaires battle millionaires for a larger slice of the economic pie but not to the extent being seen in the dogfight between the NHL and its players over a new collective bargaining agreement,one
Company closes after salmonella outbreak Publicity from a salmonella outbreak has put a West Virginia produce company out of business even though inspections found no trace of the bacteria at the plant,two
ROGER S READY Roger Federer says he s ready to erase the image as being too soft to win in New York The world s No player from Switzerland has played three US Opens and lost in the fourth round each time,one
Beijing signs pact for Asean trade VIENTIANE Laos China moved yet another step closer in cementing its economic and diplomatic relationships with Southeast Asia today when Prime Minister Wen Jiabao signed a trade accord at a regional summit that calls for zero tariffs on a wide range of,zero
Militants beat man thought to be from US HENDALA Sri Lanka Day after day locked in a cement room somewhere in Iraq the hooded men beat him They told him he would be beheaded Ameriqi quot they shouted even though he comes from this poor Sri Lankan fishing village,zero
Britian knew about EGuinea London Britain knew about an alleged coup plot in Equatorial Guinea at least five weeks before a team of mercenaries was nabbed in Zimbabwe as they prepared to carry it out the Observer newspaper reported on Sunday,zero
Briefly Pushtotalk wiretaps on feds speed list roundup Plus Tellabs scales back AFC buyTop McAfee exec to step downIDC says external disk storage upLawmakers to vote on spyware piracy bills,three
APEC Leaders Want to Revive World Trade Talks SANTIAGO Chile Reuters AsiaPacific leaders promised on Sunday to try to revive world trade talks and fight terrorism after a summit marred at the end by spats over the security of President Bush,zero
Quantum Astronomy Knowability and Unknowability in the Universe SPACEcom SPACEcom This is the third article in a series of four articles each with a separate explanation of different quantum phenomena Each article is a piece of a mosaic so every one is needed to understand the final explanation of the quantum astronomy experiment we propose possibly using the Allen Telescope Array and the narrowband radiowave detectors being build by the SETI Institute and the University of California Berkeley,three
USLed Forces Tighten Hold on Rebel Iraqi City SAMARRA Iraq Reuters US and Iraqi forces tightened their grip on Samarra Saturday pushing ahead with one of the largest offensives since the fall of Saddam Hussein to try to regain control of the rebel stronghold,zero
Opposing Views of Sage Grouse Danger The panel that made the recommendation that the greater sage grouse was in no immediate danger of extinction was provided with two competing reviews of the available science,three
Sprint To Cut Jobs Devalue Assets Sprint plans to accelerate efforts to get business customers to move to wireless and Internet services quotThis strategy plays to our strengths by advancing our broad portfolio of wireline and,two
Mickelson benched by captain Hal No one ever will know if Phil Mickelson would have done better had he not changed equipment a week before the Ryder Cup or if he had practiced with the team Wednesday instead of taking the week off,one
Punching his way forward ATHENS Theres only room for one Cinderella in a boxing ring That was the sad lesson Andre Berto learned last night as his long road to the Olympic Games came to an abrupt end at the Peristeri Boxing Hall in his first fight in the welterweight division First fight that is unless you understand what it took for him,one
Lloyds TSB cashes in on VoIP Lloyds TSB is gearing up to roll out one of the largest converged networks in Europe a m phone VoIP infrastructure linking all the bank s branches and cash points,three
Intel unveils new chip platform Hoping to annihilate its rivals in Taiwan s highend gaming market chipmaker Intel yesterday unveiled a new set of highperformance products targeting hardcore users craving for an optimized platform for media manipulation and realistic gameplay,three
Consumers May See Bills Forgiven Consumers who were billed for services used on or before June but who did not pay or dispute the charges would have the opportunity to dispute the charges in writing and qualify to have the debt forgiven,two
Business Tokyo Stocks Weak Dollar Hurts Exporters Business News TOKYO Japan s Nikkei average fell percent by midafternoon on Thursday as a fall in the dollar further weakened investor confidence over company earnings prompting selling on exporters such as Canon Inc,two
Disease Killing Beech Trees in Smokies AP AP Scientists say a nonnative insect is to blame for a disease thats killing beech trees in the higher elevations of the Great Smoky Mountains National Park,three
Women s Tennis Kuznetsova Set for Another Title After US Open Win Women s US Open tennis champion Svetlana Kuznetsova of Russia is one step closer to another title Her matchwinning streak reached eight Friday with a quarterfinal win at the Wismilak International tournament in Bali Indonesia,one
Unilever warns of extra costs Unilever has warned that restoring profitable growth will involve rising marketing spend and a big jump in restructuring charges in the fourth quarter,two
Bush Kerry spar over drug benefit Republicans who led chants of quotflipflop quot at the GOP convention in New York last week say they have new ammunition against presidential candidate John F Kerry who is on record as being both for and against a provision prohibiting Medicare from negotiating lower prices with drug companies,two
Cassini Unveils Pictures of Saturns Moon AP AP The international Cassini spacecraft began unveiling Saturns mysterious sidekick Titan with a stream of increasingly sharp pictures of the surface taken during a flyby within miles of the hazy moon,three
Acquitted TAP executive to lead company TAP Pharmaceutical Products Inc s new president starts today about a month after he and others were acquitted of federal grand jury charges of kickbacks and conspiracy,two
Deutsche Boerse Bids Billion for London Exchange Update Deutsche Boerse AG Europe s largest stock exchange by market value made a billionpound billion takeover offer for London Stock Exchange Plc its second attempt in five years to buy the UK company,two
