text,label
cards dh anderson gets postseason start marlon anderson got his first start of the postseason for the st louis cardinals on sunday night serving as the designated hitter in the second game of the world series,zero
thousands in fla told to flee hurricane fort pierce fla hurricane jeanne forced the evacuations of more than residents saturday as it bore down on florida with winds near mph and threatened to strengthen into a major storm,zero
montana keeps tradition going despite youth no players are pictured on the front or back covers of the montana football media guide displayed instead are images of the two ncaa championship trophies the grizzlies have won,one
sooners stop at nothing dallas the recruiting battle was as intense as everyone expected oklahoma against texas again,one
jp morgan cancels ibm outsourcing contract the termination of the billion deal stands in opposition to a trend toward more it outsourcing,three
former chinese minister attacks bush doctrine beijing nov on the eve of the us presidential poll one of the key architects of china s foreign policy lashed out at the controversial quotbush doctrine quot of preemptive strikes the quotcatastrophic quot war on iraq and predicted that the st century will,zero
sky launches freesat digital tv bskyb launches a free digital satellite tv service which offers channels for a oneoff fee of,three
white sox s guillen hospitalized with what may be kidney stones chicago white sox manager ozzie guillen was hospitalized last night and might have kidney stones guillen serving the first game of a twogame suspension left the ballpark about three hours before the game against detroit and went to a chicago hospital,one
militants take control in parts of iraqs mosul mosul iraq reuters insurgents were in charge of some areas of south and western mosul on saturday holding two police stations and manning road blocks as iraqs third largest city appeared to slide out of us and iraqi control,zero
report cubs fine sosa chicago sports network chicago cubs slugger sammy sosa has reportedly been fined equal to his salary for one game by the team for his decision to leave sundays season finale early,one
jeanne drenches fla batters buildings stuart fla hurricane jeanne blasted ashore in florida with drenching rains and mph wind tearing off rooftops hurling debris through the air and sending huge waves crashing into buildings sunday as it hit the same area battered by frances three weeks ago,zero
microsoft stance on multicore licensing will help customers on october microsoft announced that its software licensed on a perprocessor basis will continue to be licensed on that basis when installed on hardware that contains dualcore and multicore processors,three
stocks set to rise retail and apple eyed reuters reuters stock futures rose on monday pointingto a firmer open as investors pinned hopes on a solid start tothe holiday shopping season while apple computer inc was helped by another brokerage raising its price target on thestock,three
washington nationals that s the name city and team officials announced at a monday press conference at the main hall in union station that washington dc s baseball team would be named the nationals,one
but eye in the sky tracks pollution nasa launched a hour global pollution monitoring service yesterday that will eventually allow scientists to give daily chemical forecasts from space,three
sears posts a loss cuts fullyear view sears roebuck amp co sn quote profile research the largest us department store chain on thursday posted a thirdquarter loss as its clothing sales continued to slide and cuts its forecast for the full year,two
windows xp service pack is it time yet informationweek a desktop pipeline reviewer invites readers to step into the sp waters and offers some suggestions on how to do it as safely as possible,three
arm grasps artisan for embedded chips p gtsemiconductor design firm arm quote chart is took a major leap into the embedded microprocessor space by acquiring artisan components quote chart producer of embedded memory standard cell inputoutput analog and mixedsignal components,two
merck stock takes big hit after recall as far as stock hits go this ranks up there as one of the worst merck amp co lost more than billion in value yesterday yes that s billion with ab after the pharmaceutical giant,two
hiphop culture contributes to nba s bad rap not everything that ails the nba is solved by the restoftheseason suspension of the indiana pacers ron artest it would be irresponsible to suggest anybody should have foreseen a brawl coming,one
mark mcnulty rallies to steal schwab championship hale irwin wins ltbgtltbgt mark mcnulty and hale irwin had roughly the same thought as they collected their big trophies and bigger cheques how did tom kite let all this great stuff slip away at the charles schwab cup championship,one
iraq on track for january poll iraqi pm iyad allawi says elections will take place in january as scheduled despite continuing violence,zero
templeinland to cut jobs sees charge templeinland inc which makes packaging and building materials said monday it will slash jobs and take a thirdquarter charge to sell its thirdparty mortgage servicing portfolio and reposition its mortgage origination activities,two
federer and roddick through top seed roger federer reached the thailand open semis with a win over robin soderling of sweden second seed andy roddick also stormed through beating thomas johansson of sweden in just minutes,one
records rebounding variety variety hollywood the recorded music industry showed signs of a rebound in the first half of the year with fulllength cd shipments to retail outlets increasing by from according to the riaa,three
mission improbable but strange things do happen impossible inconceivable a southeastern conference team is in position to go and get locked out of the national championship game,one
kodak cuts jobs mark colvin the global rise of digital photography has taken its toll in jobs in victoria tonight the global photography giant eastman kodak has been cutting jobs all over the world since january this year,two
advo names harding ceo advo inc ad which publishes shopping ad circulars and provides other directmail marketing services on monday said its board of directors had elected scott harding chief executive effective oct,two
best buy pushes its insignia brand san francisco reuters best buy inc lta href targetstocksquickinfofullquotegtbbynltagt will offer an expanded range of its own branded products such as lcd televisions as it pushes into the growing market for lowerpriced privatelabel consumer electronics the company said on monday,two
report bribes got bomb suspects on planes ap ap russian authorities believe that two chechen women suspected of blowing up russian passenger jets last month got on the planes by paying bribes media reports said,zero
no louisville at no miami tv tvelwtvscwtvpcwtvnrw radio wqam am wsuaspanish am wvum fm wefl am coaches um s larry coker is in his fourth season louisville s bobby petrino is in his second season,one
microsoft sues spammers microsoft announced today that is filing lawsuits against spammers for failing to label sexually explicit messages the lawsuits were filed in washington state superior court alleging that defendants violated,three
fighting rages in south ossetia heavy fighting erupts in georgias breakaway south ossetia region shattering a twoday ceasefire,zero
artful software spots faked masterpieces a new digital authentication technique supplies forensic art experts with a new tool to distinguish paintings by masters from those by imitators scientists say,three
freeze on antispam campaign a campaign by lycos europe to target spamrelated websites appears to have been put on hold earlier this week the company released a screensaver that bombarded the sites with data to try to bump up the running costs of the websites,three
update judge backs owens corning on exec bonuses owens corning was well within its rights to offer its top executives bonuses to keep them from leaving the bankrupt corporation a judge said wednesday,two
martin back in chase for nascar title dale earnhardt jr right talks with matt kenseth left during a break in practice at lowe s motor speedway in concord nc thursday oct before qualifying for saturday s uawgm quality nascar nextel cup race,one
japan court exchess champ fischer can be deported tokyo reuters a tokyo court on friday rejected a request by former world chess champion bobby fischer to have japanese authorities halt procedures to deport him kyodo news agency reported,zero
aol nears sec fraud deal the time warner inc chairman and ceo and his legal eagles are said to be close to a deal with the securities and exchange commission and the justice department that would settle the dual,two
tokyo stocks seek direction from overseas tokyo reuters tokyo stocks are expected to stick to a narrow range this week as investors focus on a flood of us earnings soaring oil prices and the race for the white house,two
general growth properties to buy rouse reuters reuters general growth properties incggpn the no us shopping mall owner on friday said itwould buy rouse co rsen for billion expanding itsholdings of regional shopping centers and commercial property,two
mls players union reach tentative deal ap ap major league soccer and its players union tentatively agreed on a fiveyear labor contract thursday ending nearly years of negotiations,one
exmcafee exec settles insidertrade case ap ap criminal charges were filed tuesday against a former executive at network associates inc alleging he illegally profited from advance knowledge of a massive sales shortfall in,three
indias most wanted bandit killed in jungle shootout after a year run canadian press canadian press madras india ap indias most wanted bandit accused of murdering police officers slaughtering elephants and kidnapping a movie star was killed monday in a jungle shootout with police after more than three decades on the run authorities said,zero
almost nobody has a dog in this fight you expect fans to lose interest whenever billionaires battle millionaires for a larger slice of the economic pie but not to the extent being seen in the dogfight between the nhl and its players over a new collective bargaining agreement,one
company closes after salmonella outbreak publicity from a salmonella outbreak has put a west virginia produce company out of business even though inspections found no trace of the bacteria at the plant,two
roger s ready roger federer says he s ready to erase the image as being too soft to win in new york the world s no player from switzerland has played three us opens and lost in the fourth round each time,one
beijing signs pact for asean trade vientiane laos china moved yet another step closer in cementing its economic and diplomatic relationships with southeast asia today when prime minister wen jiabao signed a trade accord at a regional summit that calls for zero tariffs on a wide range of,zero
militants beat man thought to be from us hendala sri lanka day after day locked in a cement room somewhere in iraq the hooded men beat him they told him he would be beheaded ameriqi quot they shouted even though he comes from this poor sri lankan fishing village,zero
britian knew about eguinea london britain knew about an alleged coup plot in equatorial guinea at least five weeks before a team of mercenaries was nabbed in zimbabwe as they prepared to carry it out the observer newspaper reported on sunday,zero
briefly pushtotalk wiretaps on feds speed list roundup plus tellabs scales back afc buytop mcafee exec to step downidc says external disk storage uplawmakers to vote on spyware piracy bills,three
apec leaders want to revive world trade talks santiago chile reuters asiapacific leaders promised on sunday to try to revive world trade talks and fight terrorism after a summit marred at the end by spats over the security of president bush,zero
quantum astronomy knowability and unknowability in the universe spacecom spacecom this is the third article in a series of four articles each with a separate explanation of different quantum phenomena each article is a piece of a mosaic so every one is needed to understand the final explanation of the quantum astronomy experiment we propose possibly using the allen telescope array and the narrowband radiowave detectors being build by the seti institute and the university of california berkeley,three
usled forces tighten hold on rebel iraqi city samarra iraq reuters us and iraqi forces tightened their grip on samarra saturday pushing ahead with one of the largest offensives since the fall of saddam hussein to try to regain control of the rebel stronghold,zero
opposing views of sage grouse danger the panel that made the recommendation that the greater sage grouse was in no immediate danger of extinction was provided with two competing reviews of the available science,three
sprint to cut jobs devalue assets sprint plans to accelerate efforts to get business customers to move to wireless and internet services quotthis strategy plays to our strengths by advancing our broad portfolio of wireline and,two
mickelson benched by captain hal no one ever will know if phil mickelson would have done better had he not changed equipment a week before the ryder cup or if he had practiced with the team wednesday instead of taking the week off,one
punching his way forward athens theres only room for one cinderella in a boxing ring that was the sad lesson andre berto learned last night as his long road to the olympic games came to an abrupt end at the peristeri boxing hall in his first fight in the welterweight division first fight that is unless you understand what it took for him,one
lloyds tsb cashes in on voip lloyds tsb is gearing up to roll out one of the largest converged networks in europe a m phone voip infrastructure linking all the bank s branches and cash points,three
intel unveils new chip platform hoping to annihilate its rivals in taiwan s highend gaming market chipmaker intel yesterday unveiled a new set of highperformance products targeting hardcore users craving for an optimized platform for media manipulation and realistic gameplay,three
consumers may see bills forgiven consumers who were billed for services used on or before june but who did not pay or dispute the charges would have the opportunity to dispute the charges in writing and qualify to have the debt forgiven,two
business tokyo stocks weak dollar hurts exporters business news tokyo japan s nikkei average fell percent by midafternoon on thursday as a fall in the dollar further weakened investor confidence over company earnings prompting selling on exporters such as canon inc,two
disease killing beech trees in smokies ap ap scientists say a nonnative insect is to blame for a disease thats killing beech trees in the higher elevations of the great smoky mountains national park,three
women s tennis kuznetsova set for another title after us open win women s us open tennis champion svetlana kuznetsova of russia is one step closer to another title her matchwinning streak reached eight friday with a quarterfinal win at the wismilak international tournament in bali indonesia,one
unilever warns of extra costs unilever has warned that restoring profitable growth will involve rising marketing spend and a big jump in restructuring charges in the fourth quarter,two
bush kerry spar over drug benefit republicans who led chants of quotflipflop quot at the gop convention in new york last week say they have new ammunition against presidential candidate john f kerry who is on record as being both for and against a provision prohibiting medicare from negotiating lower prices with drug companies,two
cassini unveils pictures of saturns moon ap ap the international cassini spacecraft began unveiling saturns mysterious sidekick titan with a stream of increasingly sharp pictures of the surface taken during a flyby within miles of the hazy moon,three
acquitted tap executive to lead company tap pharmaceutical products inc s new president starts today about a month after he and others were acquitted of federal grand jury charges of kickbacks and conspiracy,two
deutsche boerse bids billion for london exchange update deutsche boerse ag europe s largest stock exchange by market value made a billionpound billion takeover offer for london stock exchange plc its second attempt in five years to buy the uk company,two
bcs shockers texas in fiesta pitt to rose as expected auburn is the odd team out of the bcs national championship game and texas has bumped cal out of the rose bowl in addition to the longhorns lastminute jump there was another shocker texas,one
israel arrests un employees army israel has arrested un employees and plans to indict them for quotsuspected links to terrorism quot an israeli army officer said tuesday,zero
northwest sues sabre over ticket fees northwest airlines corp filed suit against sabre travel network in the us district court for the district of minnesota alleging that sabre instituted measures that will make it more difficult for the carrier to sell tickets,two
moss questionable for sunday the jets announced on wednesday that wide receiverpunt returner santana moss is questionable for sunday s game against the san francisco ers,one
packers panthers green ran for two touchdowns and caught a third monday night to lead the green bay packers to a victory over the panthers who became the sixth straight team to lose in the super bowl and their ensuing season opener,one
stocks mixed as oil prices remain higher new york stocks were narrowly mixed tuesday as oil prices remained higher and wall street weighed a lackluster report on retail sales but light volume showed that many investors remained on the sidelines with hurricane ivan threatening oil rigs in the gulf of mexico crude futures moved higher for the second straight day but the possibility of an increase in output from opec took the edge off investors concerns,zero
uk s blair to put africa at heart of the g agenda in uk prime minister tony blair this week will put efforts to curb disease and poverty in africa at the center of the agenda of the group of eight industrial nations next year,zero
rwandan president warns forces will deal with rebels in ltbgtltbgt rwanda s president on tuesday warned he would send forces after rebels that have launched attacks from neighboring congo and suggested he may already have if congo and the united nations don t do more to disarm the fighters,zero
